from,to,weight,type
135,211,5,undirected
136,22,2,undirected
136,60,3,undirected
136,98,4,undirected
136,174,2,undirected
136,212,3,undirected
137,23,4,undirected
137,61,1,undirected
137,99,2,undirected
137,175,6,undirected
137,213,4,undirected
138,24,6,undirected
138,62,3,undirected
138,100,2,undirected
138,176,4,undirected
138,214,3,undirected
139,25,2,undirected
139,63,4,undirected
139,101,2,undirected
139,177,5,undirected
139,215,6,undirected
140,26,4,undirected
140,64,2,undirected
140,102,1,undirected
140,178,5,undirected
140,216,4,undirected
141,65,1,undirected
141,103,1,undirected
141,179,5,undirected
141,217,4,undirected
142,66,3,undirected
142,180,6,undirected
142,218,4,undirected
143,29,5,undirected
143,67,1,undirected
143,181,6,undirected
143,219,3,undirected
144,30,2,undirected
144,68,4,undirected
144,106,3,undirected
144,182,6,undirected
144,220,4,undirected
145,31,1,undirected
145,69,4,undirected
145,107,1,undirected
145,183,6,undirected
145,221,4,undirected
146,32,1,undirected
146,70,3,undirected
146,184,5,undirected
146,222,4,undirected
147,33,3,undirected
147,71,2,undirected
147,109,2,undirected
147,185,5,undirected
147,223,4,undirected
148,34,3,undirected
148,72,1,undirected
148,185,1,undirected
148,186,5,undirected
148,224,4,undirected
149,35,3,undirected
149,187,6,undirected
149,225,4,undirected
150,36,3,undirected
150,74,4,undirected
150,112,3,undirected
150,188,6,undirected
150,226,4,undirected
151,37,2,undirected
151,75,4,undirected
151,113,4,undirected
152,0,4,undirected
152,38,1,undirected
152,76,1,undirected
152,114,5,undirected
152,190,6,undirected
153,39,2,undirected
153,77,1,undirected
153,115,5,undirected
153,191,4,undirected
154,2,3,undirected
154,40,1,undirected
154,78,3,undirected
154,116,2,undirected
154,192,4,undirected
155,3,2,undirected
155,41,2,undirected
155,117,5,undirected
155,193,6,undirected
156,4,3,undirected
156,118,6,undirected
156,194,4,undirected
157,5,3,undirected
157,119,6,undirected
157,195,5,undirected
158,82,1,undirected
158,120,3,undirected
158,196,6,undirected
159,7,3,undirected
159,121,6,undirected
159,197,3,undirected
160,8,4,undirected
160,46,1,undirected
160,122,5,undirected
160,198,6,undirected
161,9,5,undirected
161,47,2,undirected
161,123,3,undirected
161,199,6,undirected
162,10,3,undirected
162,124,4,undirected
162,200,6,undirected
163,11,2,undirected
163,87,2,undirected
163,125,5,undirected
163,201,6,undirected
164,12,4,undirected
164,126,5,undirected
164,202,4,undirected
165,13,2,undirected
165,51,4,undirected
165,127,5,undirected
165,203,3,undirected
166,14,4,undirected
166,52,1,undirected
166,128,6,undirected
166,204,5,undirected
167,53,2,undirected
167,129,5,undirected
167,205,4,undirected
168,54,1,undirected
168,130,5,undirected
168,169,1,undirected
168,206,4,undirected
169,17,1,undirected
169,131,5,undirected
169,168,1,undirected
169,207,4,undirected
170,94,1,undirected
170,132,4,undirected
170,208,4,undirected
171,19,4,undirected
171,95,2,undirected
171,133,4,undirected
171,209,5,undirected
172,20,1,undirected
172,58,2,undirected
172,96,4,undirected
172,134,6,undirected
172,210,5,undirected
173,21,2,undirected
173,59,2,undirected
173,97,4,undirected
173,135,4,undirected
173,211,6,undirected
174,22,1,undirected
174,60,2,undirected
174,98,2,undirected
174,136,2,undirected
174,212,6,undirected
175,23,2,undirected
175,61,2,undirected
175,99,4,undirected
175,137,6,undirected
175,213,5,undirected
176,24,2,undirected
176,100,4,undirected
176,138,4,undirected
176,214,6,undirected
177,25,1,undirected
177,63,2,undirected
177,101,2,undirected
177,139,5,undirected
177,215,4,undirected
178,26,1,undirected
178,64,1,undirected
178,102,2,undirected
178,140,5,undirected
178,216,6,undirected
179,27,3,undirected
179,65,2,undirected
179,141,5,undirected
179,217,6,undirected
180,28,3,undirected
180,66,4,undirected
180,104,3,undirected
180,142,6,undirected
180,218,5,undirected
181,29,2,undirected
181,67,2,undirected
181,105,2,undirected
181,143,6,undirected
181,219,5,undirected
182,30,4,undirected
182,68,2,undirected
182,106,2,undirected
182,144,6,undirected
182,220,5,undirected
183,31,2,undirected
183,69,2,undirected
183,107,4,undirected
183,145,6,undirected
183,221,5,undirected
184,32,3,undirected
184,70,1,undirected
184,108,3,undirected
184,146,5,undirected
184,222,6,undirected
185,33,1,undirected
185,71,2,undirected
185,109,1,undirected
185,147,5,undirected
185,148,1,undirected
185,186,1,undirected
185,223,6,undirected
186,34,2,undirected
186,72,3,undirected
186,110,2,undirected
186,148,5,undirected
186,185,1,undirected
186,224,6,undirected
187,35,4,undirected
187,73,3,undirected
187,111,2,undirected
187,149,6,undirected
187,225,5,undirected
188,36,3,undirected
188,74,2,undirected
188,112,2,undirected
188,150,6,undirected
188,226,5,undirected
189,37,4,undirected
189,113,2,undirected
189,227,6,undirected
190,0,1,undirected
190,114,4,undirected
190,152,6,undirected
190,201,1,undirected
191,1,3,undirected
191,39,3,undirected
191,77,2,undirected
191,115,6,undirected
191,153,4,undirected
192,2,5,undirected
192,40,2,undirected
192,78,1,undirected
192,116,6,undirected
192,154,4,undirected
193,79,4,undirected
193,117,2,undirected
193,155,6,undirected
194,42,1,undirected
194,80,3,undirected
194,118,5,undirected
194,156,4,undirected
195,5,5,undirected
195,81,1,undirected
195,119,3,undirected
195,157,5,undirected
196,6,1,undirected
196,44,1,undirected
196,82,2,undirected
196,120,4,undirected
196,158,6,undirected
197,45,5,undirected
197,83,2,undirected
197,121,4,undirected
197,159,3,undirected
198,8,3,undirected
198,84,1,undirected
198,122,4,undirected
198,160,6,undirected
199,9,2,undirected
199,47,1,undirected
199,85,2,undirected
199,123,5,undirected
199,161,6,undirected
200,10,1,undirected
200,48,1,undirected
200,86,2,undirected
200,124,5,undirected
200,162,6,undirected
201,11,3,undirected
201,125,3,undirected
201,163,6,undirected
201,190,1,undirected
202,12,3,undirected
202,50,2,undirected
202,88,2,undirected
202,126,6,undirected
202,164,4,undirected
203,51,1,undirected
203,127,6,undirected
203,165,3,undirected
204,14,2,undirected
204,90,1,undirected
204,128,4,undirected
204,166,5,undirected
205,15,1,undirected
205,53,1,undirected
205,129,6,undirected
205,167,4,undirected
206,16,4,undirected
206,54,2,undirected
206,92,1,undirected
206,130,6,undirected
206,168,4,undirected
206,207,1,undirected
207,17,2,undirected
207,55,2,undirected
207,131,6,undirected
207,169,4,undirected
207,206,1,undirected
208,18,1,undirected
208,56,6,undirected
208,94,2,undirected
208,132,5,undirected
208,170,4,undirected
209,57,4,undirected
209,133,6,undirected
209,171,5,undirected
209,215,1,undirected
210,96,1,undirected
210,134,3,undirected
210,172,5,undirected
211,21,4,undirected
211,59,3,undirected
211,97,1,undirected
211,135,5,undirected
211,173,6,undirected
212,98,5,undirected
212,136,3,undirected
212,174,6,undirected
213,23,2,undirected
213,137,4,undirected
213,175,5,undirected
214,24,2,undirected
214,138,3,undirected
214,176,6,undirected
215,63,1,undirected
215,139,6,undirected
215,177,4,undirected
215,209,1,undirected
216,26,1,undirected
216,140,4,undirected
216,178,6,undirected
217,27,4,undirected
217,65,3,undirected
217,103,3,undirected
217,141,4,undirected
217,179,6,undirected
218,28,1,undirected
218,66,2,undirected
218,104,1,undirected
218,142,4,undirected
218,180,5,undirected
219,29,2,undirected
219,67,4,undirected
219,105,3,undirected
219,143,3,undirected
219,181,5,undirected
220,30,2,undirected
220,144,4,undirected
220,182,5,undirected
221,31,4,undirected
221,69,1,undirected
221,107,2,undirected
221,145,4,undirected
221,183,5,undirected
222,32,4,undirected
222,70,3,undirected
222,108,2,undirected
222,146,4,undirected
222,184,6,undirected
223,33,3,undirected
223,71,3,undirected
223,109,4,undirected
223,147,4,undirected
223,185,6,undirected
224,72,3,undirected
224,110,1,undirected
224,148,4,undirected
224,186,6,undirected
225,73,3,undirected
225,111,3,undirected
225,149,4,undirected
225,187,5,undirected
226,36,1,undirected
226,74,2,undirected
226,112,1,undirected
226,150,4,undirected
226,188,5,undirected
227,37,1,undirected
227,75,2,undirected
227,189,6,undirected
